key,achieve_hp,achieve_num,achieve_value,des,name
512,20,1,5,仙宠资质达到30点,慧心妙宠
513,10,1,10,仙宠资质达到51点,神清气茂
514,10,1,15,仙宠资质达到76点,天资聪颖
515,30,1,20,仙宠资质达到100点,珪璋特达
4100,10,2,5,挑战风啸岬5层2次,初入风啸岬5层
4101,10,14,10,挑战风啸岬5层14次,再探风啸岬5层
4102,30,60,20,挑战风啸岬5层60次,风啸岬5层熟客
4103,30,2,5,挑战风啸岬6层2次,初入风啸岬6层
4104,30,14,10,挑战风啸岬6层14次,再探风啸岬6层
4105,30,60,20,挑战风啸岬6层60次,风啸岬6层熟客
4106,30,2,5,挑战风啸岬7层2次,初入风啸岬7层
11,20,30,5,完成天师指派的任务达到30次,牛刀小试
12,10,150,10,完成天师指派的任务达到150次,锋芒外露
13,80,1500,20,完成天师指派的任务达到1500次,脱颖而出
14,20,24,5,风行任务完成次数达24次,崭露头角
15,10,120,10,风行任务完成次数达120次,勇往直前
16,80,1200,20,风行任务完成次数达1200次,霸气外露
17,20,30,5,扫荡任务完成次数达30次,平定安邦
18,10,150,10,扫荡任务完成次数达150次,相安无事
19,80,1500,20,扫荡任务完成次数达1500次,声名大噪
4108,80,60,20,挑战风啸岬7层60次,风啸岬7层熟客
21,20,1,10,手持一件40级封印主手武器,封印侠士
22,10,1,20,手持一件40级金色主手武器,至尊神器
23,30,1,20,手持一件50级金色主手武器,所向披靡
24,30,1,20,手持一件60级金色主手武器,锐不可当
25,30,1,20,手持一件70级金色主手武器,九五之尊
26,80,1,50,手持一件80级金色主手武器,叱咤风云
27,10,8,20,身着一套40级金色装备,风云金光
28,10,8,20,身着一套50级金色装备,罗刹转世
29,10,8,20,身着一套60级金色装备,薄云扫月
4109,80,2,5,挑战风啸岬8层2次,初入风啸岬8层
31,10,1,5,击杀驱神魔王1次,初遇驱神魔王
32,10,10,10,击杀驱神魔王10次,完胜驱神魔王
33,30,100,20,击杀驱神魔王100次,驱神魔王克星
34,10,1,5,击杀通风魔王1次,初遇通风魔王
35,10,10,10,击杀通风魔王10次,完胜通风魔王
36,30,100,20,击杀通风魔王100次,通风魔王克星
37,10,1,5,击杀移山魔王1次,初遇移山魔王
38,10,10,10,击杀移山魔王10次,完胜移山魔王
39,30,100,20,击杀移山魔王100次,移山魔王克星
4119,10,32,10,炼神总进度达到32,红尘在心
41,20,1,5,等级达到40级,初学乍练
42,10,1,10,等级达到50级,略有小成
43,10,1,15,等级达到60级,鹤立鸡群
44,30,1,20,等级达到70级,驾轻就熟
45,80,1,100,等级达到80级,心里神会
46,80,1,200,等级达到90级,精深奥妙
47,20,1,5,战力达到5000,粗懂皮毛
48,20,1,10,战力达到10000,登堂入室
49,20,1,15,战力达到15000,已有小成
524,80,23,100,完成所有珍宝成就,富甲一方
