key,activenum,activityTimes,commission,des,dropItems,expStarLevel,levels,logoid,map,maxnum,name,rewardStarLevel,samenametype,targetmapid,targetPoint,type
128,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,40$49,2012,300,1,天师任务,3,5,300,188$162,2
129,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,50$59,2012,300,1,天师任务,3,5,300,188$162,2
130,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,60$69,2012,300,1,天师任务,3,5,300,188$162,2
131,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,70$79,2012,300,1,天师任务,3,5,300,188$162,2
132,0,全天,0,环式日常任务，完成10次时可获得礼包奖励。,10034001,2,90$100,2012,300,1,天师任务,3,5,300,188$162,2
133,0,全天,0,扫荡威胁轩辕城的妖魔鬼怪，帮助轩辕霸来拯救轩辕城，每完成10次可获得赦免令一枚。,19000691,3,50$57,0,300,30,扫荡任务,1,6,300,193$122,2
134,0,全天,0,扫荡威胁轩辕城的妖魔鬼怪，帮助轩辕霸来拯救轩辕城，每完成10次可获得赦免令一枚。,19000691,3,58$65,0,300,30,扫荡任务,1,6,300,193$122,2
135,0,全天,0,扫荡威胁轩辕城的妖魔鬼怪，帮助轩辕霸来拯救轩辕城，每完成10次可获得赦免令一枚。,19000691,3,66$73,0,300,30,扫荡任务,1,6,300,193$122,2
1,0,周六20:00~20:30,0,全服战力排行前32名的玩家可参与此活动，获胜后将会获得荣誉称号和稀有奖励物品,13130011$14000421$14000521$14000821$13070021$13070031,0,30$100,2029,0,0,天下武道会,5,57,300,0$0,3
2,0,周二、四20:00~20:30,0,总积分排行前3的仙门和国王仙门可进入人皇之战，获胜仙门帮主成为王者至尊，并有丰厚奖励。,19000590$19050031,0,30$100,0,1601,0,人皇之战,5,17,300,30$30,3
3,0,周日20:00~20:30,0,争夺水晶矿，为你的仙门尽一份力吧，参与者可获得丰厚的奖励！,10040101$10040201$10040301$10040401$10040501$13120011,4,30$100,2027,6002,1,仙门夺旗,4,16,300,30$30,3
140,10,全天,0,环式的仙门任务可以提供经验奖励以及门贡，还有机会获得尘逝砂道具来加速仙门升级。,19000521,2,30$100,0,300,10,仙门任务,2,7,300,187$146,2
5,5,19:10~19:25,0,参加活动可获得大量经验奖励。答题中掌握技巧能让你获得更高奖励。,,1,35$100,2015,0,1,博古通今,2,10,0,0$0,3
6,5,13:00~13:05、16:00~16:05、19:00~19:05、22:00~22:05,0,等级35级以上的玩家，每天有四次到城主轩辕泰处去接取限时任务，完成后获得海量经验奖励。,,4,35$100,1023,300,4,帝都危机,4,11,300,207$152,3
7,10,19:45~20:00,0,活动时间内进入仙门驻地，吸取仙门驻地的灵气，击杀蟠桃怪可获得大量经验及灵力。,,2,35$100,2013,5006,1,蟠桃盛宴,4,12,300,187$146,3
1002,0,,0,,19000301^10$19000491^10$13050011^5$14000411^5$19000461^5$13010021^5$13030021^5$13120011^3$13040021^4$19010651^1,0,0$100,0,0,0,首冲礼包,0,29,0,0$0,5
9,0,16:10~16:55,0,镖行天下期间，运镖可获得双倍的经验和钱币奖励，可和仙门运镖叠加，建议镖行天下期间开启仙门运镖。,,4,40$100,2025,300,1,镖行天下,2,9,300,246$276,3
10,5,21:00~21:30,0,活动期间内进入温泉轻松获得经验及灵力，时不时的戏水和搓澡还可额外增加经验及灵力。,,3,40$100,2013,1203,1,仙境温泉,0,13,300,0$0,3
11,0,周日19:00~20:00,0,参与昆山斗法活动前十场无论胜负均可获得经验、荣誉及积分，积分靠前者可获得经验、荣誉、称号和物品奖励,10041201$10041202$10041203$10041204,3,45$100,2026,0,1,昆山斗法,4,15,300,0$0,3
12,10,21:40~22:00,0,击杀怪物或者玩家均可获得积分，积分靠前者可获得丰厚的经验、荣誉和物品奖励,10040801$10040901,3,50$100,2009,4000,1,降妖伏魔,4,14,300,50$50,3
4,10,20:30~20:55,0,击杀怪物或者玩家均可获得积分，积分靠前者可获得丰厚的经验、荣誉和物品奖励,10041001$10041101,3,35$100,2009,1601,1,斗战法会,4,40,300,20$30,3
150,0,全天,0,进入通灵道副本，找到(范无救)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,40$44,0,320,3,通灵试炼,2,10,300,51$127,2
151,0,全天,0,进入通灵道副本，找到(谢必安)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,45$49,0,320,3,通灵试炼,2,10,300,51$127,2
152,0,全天,0,进入通灵道副本，找到(牛头)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,50$54,0,320,3,通灵试炼,2,10,300,51$127,2
153,0,全天,0,进入通灵道副本，找到(马面)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,55$59,0,320,3,通灵试炼,2,10,300,51$127,2
154,0,全天,0,进入通灵道副本，找到(欲乐妖姬)并找机会击杀他，每日有3次机会进入副本场景，完成后有可观的金钱奖励。,19010281$11010401$11020501$19010241$13040001,4,60$64,0,320,3,通灵试炼,2,10,300,51$127,2
