key,exp,expAddRatio,item,money,name,qualityrates,refresh_info,rewardsExpType,rounds_num,sections,special_tag,type,useGoldComAll
1,1000^1000^1000^1000^1000^1000^1000^1000^1000^1000,,,,仙门日常任务,,,1,1,10,0,2,0
2,1565,0$30$60$100$150,,,风行任务,11$67$11$6$5,3$1^55^33^6^5$0$0$1000$134,1,1,10,2,2,0
3,1565,0$30$60$100$150,,,风行任务,48$39$7$3$3,3$35^39^20^3^3$0$0$1000$134,1,1,10,2,2,0
4,1565,0$30$60$100$150,,,风行任务,60$30$5$3$2,3$50^30^15^3^2$0$0$1000$134,1,1,10,2,2,0
71,5000,,,,通灵试炼,,,1,3,1,0,2,0
72,7500,,,,通灵试炼,,,1,3,1,0,2,0
73,10000,,,,通灵试炼,,,1,3,1,0,2,0
10,2250,,,,善赏任务,,,1,1,3,0,2,0
11,2250,,,,善赏任务,,,1,1,3,0,2,0
12,2250,,,,善赏任务,,,1,1,3,0,2,0
77,20000,,,,通灵试炼,,,1,3,1,0,2,0
74,12500,,,,通灵试炼,,,1,3,1,0,2,0
75,15000,,,,通灵试炼,,,1,3,1,0,2,0
20,6000^6000^6000^6000^6000,,,,云中阁,,,1,1,5,0,2,1
21,6000^6000^6000^6000^6000,,,,云中阁,,,1,1,5,0,2,1
22,6000^6000^6000^6000^6000,,,,云中阁,,,1,1,5,0,2,1
23,6000^6000^6000^6000^6000,,,,云中阁,,,1,1,5,0,2,1
24,6000^6000^6000^6000^6000,,,,云中阁,,,1,1,5,0,2,1
25,6000^6000^6000^6000^6000,,,,云中阁,,,1,1,5,0,2,1
26,6000^6000^6000^6000^6000,,,,云中阁,,,1,1,5,0,2,1
76,17500,,,,通灵试炼,,,1,3,1,0,2,0
30,3840^3840^3840^3840^3840^3840^3840^3840^3840^3840,,,,扫荡任务,,,1,3,10,0,2,1
31,3840^3840^3840^3840^3840^3840^3840^3840^3840^3840,,,,扫荡任务,,,1,3,10,0,2,1
32,3840^3840^3840^3840^3840^3840^3840^3840^3840^3840,,,,扫荡任务,,,1,3,10,0,2,1
40,,,,,运镖,0$30$50$20$0,0$0^30^50^20$2$0$0$78,3,5,1,1,2,0
41,472500^13500^35,,,,帝都危机,,,2,1,1,0,1,0
50,1500^1500^1500^1500^1500^1500^1500^1500^1500^1500,,,,天师任务,,,1,1,10,0,2,1
51,3000^3000^3000^3000^3000^3000^3000^3000^3000^3000,,,,天师任务,,,1,1,10,0,2,1
52,4500^4500^4500^4500^4500^4500^4500^4500^4500^4500,,,,天师任务,,,1,1,10,0,2,1
53,6000^6000^6000^6000^6000^6000^6000^6000^6000^6000,,,,天师任务,,,1,1,10,0,2,1
60,20000,,,,妖磷石任务,,,1,3,1,0,2,0
61,40000,,,,妖磷石任务,,,1,3,1,0,2,0
62,60000,,,,妖磷石任务,,,1,3,1,0,2,0
