key,awardexp,awardgift,bindmoney,bonusexplain,bonusid,name2
512,0,0,0,[提示：#fee300]|n|{风啸岬，2030017}是组队挑战副本，掉落大量稀有物品。击杀狂刀剑客即可完成。,14000831^1,击杀狂刀剑客
513,0,0,0,[提示：#fee300]|n|战力值统计了角色的综合能力，代表人物的战斗实力。通过提升角儿的各项属性可提升战力值。,13010011^3$13010021^3,战力值达到10000
514,0,0,0,[提示：#fee300]|n|点开炼器的(星阶页面，enchant，0)，将主手武器星阶提升至8星，佩戴后即可完成。,14001231^1$13110041^5,提升主手武器星阶+8
515,0,0,0,[提示：#fee300]|n|防御对应攻击属性，防御越高受到的伤害越低。可以通过提升(炼体，venation，1)、(星阶，enchant，0)、(器灵，enchant，5)等多种方式来提高防御。,13030021^5$13020031^5,三项防御值达到600
516,0,0,0,[提示：#fee300]|n|(器灵，enchant，5)可以在装备上附加1-3条随机属性。将身上13件装备附上器灵属性即可完成。,13040011^8,给13件装备附魔器灵
517,0,0,0,[提示：#fee300]|n|(炼体，venation，1)可以提升人物属性，消耗的灵力可以通过温泉和帮会吸灵获得，打坐修炼也能获得灵力。另(仙缘福报，pray，0)可以获得聚灵丹。,19010651^5,炼体达到150点
518,2000000,100,150000,[提示：#fee300]|n|升级需要大量经验，可以通过完成主线支线任务、日常循环任务以及各种日常副本获得。,24040011^5,等级达到60级
10,0,0,0,第一章【名不经传】|n|千年流转，红尘轮换，世间乱象纷扰，你身为修行人，欲只身踏入红尘，拯救苍生劫难。,,
11,0,0,0,[提示：#fee300]|n|装备可以大幅提高属性。通过主线任务和成长礼包可获得装备。,11010201^10,佩戴3件装备
12,0,0,0,[提示：#fee300]|n|完成主线任务可快速提升到10级。,19010281^1,等级达到10级
13,0,0,0,[提示：#fee300]|n|技能可以使战斗更有优势，完成主线学习技能任务即可。,11030101^10,掌握2个技能
14,0,30,10000,[提示：#fee300]|n|完成主线任务可快速提升到20级。,19010281^1,等级达到20级
410,0,0,0,第四章【威名远播】|n|妖魅横行惑乱众生，为免人世涂炭，不惜自染杀业，以大神通追杀四方妖邪，威名远播。,,
411,0,0,0,[提示：#fee300]|n|装备品质越高，属性越强大，通过|副本|可获得(造物紫装，refine，1)的材料，获得2件紫色品质以上的装备即可。,13110031^2$13040021^3,佩戴2件紫色装备
412,0,0,0,[提示：#fee300]|n|{寒风岭，2030019}是组队挑战副本，掉落升星物品、器灵附魔物品和灵石。击杀第3层的独角怪即可完成。,13040001^10,击杀独角怪
413,0,0,0,[提示：#fee300]|n|点开炼器的(星阶页面，enchant，0)，将主手武器星阶提升至7星，佩戴后即可完成目标。后即可完成。,13050011^3$14000431^1,提升主手武器星阶+7
414,0,0,0,[提示：#fee300]|n|点开炼器的(星阶，enchant，0)界面，把需要升星的装备放入，共13件（不含坐骑、时装和披风）装备升到4星即可完成。,13040021^2$13010021^3,提升全身装备星阶+4
415,0,0,0,[提示：#fee300]|n|装备品质越高，增加属性越多，通过|副本|可获得(造物紫装，refine，1)的材料，只要佩戴8件紫色品质以上的装备即可完成。,13040001^10$13040021^3,佩戴8件紫色装备
416,0,0,0,[提示：#fee300]|n|(器灵，enchant，5)可以在装备上附加1-3条随机属性，是提升实力的重要手段。将身上8件装备附上属性即可完成。,13040011^5,给8件装备附魔器灵
417,0,0,0,[提示：#fee300]|n|(炼体，venation，1)可以提升人物属性，消耗的灵力可以通过温泉和帮会吸灵获得，打坐修炼也能获得灵力。另(仙缘福报，pray，0)可以获得聚灵丹。,19010651^3$13040001^10,炼体达到80点
418,0,0,0,[提示：#fee300]|n|战力值统计了角色的综合能力，代表人物的战斗实力。通过提升角儿的各项属性可提升战力值。,13110031^3$19010121^5,战力达到6000
419,1000000,60,100000,[提示：#fee300]|n|升级需要大量经验，可以通过完成主线支线任务、日常循环任务以及各种日常副本获得。,13040001^10,等级达到50级
310,0,0,0,第三章【震惊百里】|n|为除世间妖邪，还天地正气，邀有道之士，共创仙门印证修行，以求兼善天下，震慑妖邪。,,
311,0,0,0,[提示：#fee300]|n|装备品质越高，增加属性越多，通过{幽谷道，2030009}和{玉蛟宫，2030018}可获得蓝色装备。,13110061^1$13110021^4$13110011^12,佩戴6件蓝色装备
