key,activityid,can_direct_exit,duration_time,explanation,fangyuli,gongjili,instanceName,instanceType,level,linkstr,mapid,monsters,tipsstr,tipstype,type,zhanli
70016,0,1,500000,寒风岭16层,,,寒风岭16层,10,40$100,[],7016,,[],0,0,
70017,0,1,500000,寒风岭17层,,,寒风岭17层,10,40$100,[],7017,,[],0,0,
70018,0,1,500000,寒风岭18层,,,寒风岭18层,10,40$100,[],7018,,[],0,0,
70019,0,1,500000,寒风岭19层,,,寒风岭19层,10,40$100,[],7019,,[],0,0,
70020,0,1,500000,寒风岭20层,,,寒风岭20层,10,40$100,[],7020,,[],0,0,
70021,0,1,500000,寒风岭21层,,,寒风岭21层,10,40$100,[],7021,,[],0,0,
70022,0,1,500000,寒风岭22层,,,寒风岭22层,10,40$100,[],7022,,[],0,0,
70023,0,1,500000,寒风岭23层,,,寒风岭23层,10,40$100,[],7023,,[],0,0,
70024,0,1,500000,寒风岭24层,,,寒风岭24层,10,40$100,[],7024,,[],0,0,
70025,0,1,500000,寒风岭25层,,,寒风岭25层,10,40$100,[],7025,,[],0,0,
70026,0,1,500000,寒风岭26层,,,寒风岭26层,10,40$100,[],7026,,[],0,0,
70027,0,1,500000,寒风岭27层,,,寒风岭27层,10,40$100,[],7027,,[],0,0,
70028,0,1,500000,寒风岭28层,,,寒风岭28层,10,40$100,[],7028,,[],0,0,
70029,0,1,500000,寒风岭29层,,,寒风岭29层,10,40$100,[],7029,,[],0,0,
70030,0,1,500000,寒风岭30层,,,寒风岭30层,10,40$100,[],7030,,[],0,0,
80007,0,1,500000,风啸岬7层,,,风啸岬7层,10,50$100,[],8007,,[],0,0,
80008,0,1,500000,风啸岬8层,,,风啸岬8层,10,50$100,[],8008,,[],0,0,
10001,202,1,3600000,该副本内怪物均为主动怪物，杀死怪物可以得到一般的经验奖励、钱币和宠物强化物品等。,52,94,幽谷道,1,30$100,[        如何增加实力#01b4ff]|n|   (装备铸造，enchant，0)       (装备炼制，refine，0)|n|   (提升修为，venation，1)       (前往祈福，pray，0),1001,1100101^1^#00ffff$1100102^1^#00ffff$1100103^1^#00ffff$1100104^1^#00ffff$1100105^1^#ff0000,小提示：点击右上角的(挂机，autoattack，0)按钮，可轻松挂机打怪。,1,0,573
10002,203,1,3600000,该副本内怪物均为主动怪物，杀死怪物可以得到一般的经验奖励、钱币和有机会获得40级紫装宝石等材料。,105,203,玉蛟宫【单人】,1,35$100,[        如何增加实力#01b4ff]|n|   (装备铸造，enchant，0)       (装备炼制，refine，0)|n|   (提升修为，venation，1)       (前往祈福，pray，0),603,1060301^1^#00ffff$1060302^1^#00ffff$1060303^1^#00ffff$1060304^1^#00ffff$1060305^1^#ff0000,小提示：点击右上角的(挂机，autoattack，0)按钮，可轻松挂机打怪。,1,0,1479
10003,204,1,3600000,该副本内怪物均为主动怪物，杀死怪物可以得到较多的经验奖励和有机会掉落50级蓝装部件。,594,857,诛魔台,2,55$100,[        如何增加实力#01b4ff]|n|   (装备铸造，enchant，0)       (装备炼制，refine，0)|n|   (提升修为，venation，1)       (前往祈福，pray，0),502,1050201^1^#00ffff$1050202^1^#00ffff$1050203^1^#00ffff$1050204^1^#00ffff$1050205^1^#ff0000,小提示：点击右上角的(挂机，autoattack，0)按钮，可轻松挂机打怪。,1,0,7999
10004,205,1,3600000,该副本内怪物均为主动怪物，杀死怪物可以得到丰厚的经验奖励、钱币道具和高品质装备。,965,1361,锁命塔,2,70$100,[        如何增加实力#01b4ff]|n|   (装备铸造，enchant，0)       (装备炼制，refine，0)|n|   (提升修为，venation，1)       (前往祈福，pray，0),1601,1160101^1^#00ffff$1160102^1^#00ffff$1160103^1^#00ffff$1160104^1^#ff0000,小提示：点击右上角的(挂机，autoattack，0)按钮，可轻松挂机打怪。,1,0,13664
10005,211,1,3600000,该副本内怪物均为主动怪物，杀死怪物可以得到丰厚的经验奖励、钱币道具和高品质装备。,206,347,玉蛟宫【精英】,2,40$100,[        如何增加实力#01b4ff]|n|   (装备铸造，enchant，0)       (装备炼制，refine，0)|n|   (提升修为，venation，1)       (前往祈福，pray，0),605,1060501^1^#00ffff$1060502^1^#00ffff$1060503^1^#00ffff$1060504^1^#00ffff$1060505^1^#ff0000,小提示：点击右上角的(挂机，autoattack，0)按钮，可轻松挂机打怪。,1,0,2878
10006,3,0,1200000,团P副本，玩家进入后可相互PK对战，击杀对手后不会增加罪恶值。,,,降妖伏魔,4,50$59,[],4000,,[],0,20,
10007,3,0,1200000,团P副本，玩家进入后可相互PK对战，击杀对手后不会增加罪恶值。,,,降妖伏魔,4,60$69,[],4001,,[],0,20,
10008,3,0,1200000,团P副本，玩家进入后可相互PK对战，击杀对手后不会增加罪恶值。,,,降妖伏魔,4,70$79,[],4002,,[],0,20,
10009,3,0,1200000,团P副本，玩家进入后可相互PK对战，击杀对手后不会增加罪恶值。,,,降妖伏魔,4,80$100,[],4003,,[],0,20,
80009,0,1,500000,风啸岬9层,,,风啸岬9层,10,50$100,[],8009,,[],0,0,
10011,206,1,780000,多宝阁副本，大量的金钱回报和有机会获得40级蓝色套装部件。,,,多宝阁,1,40$100,[],1201,,[],0,0,
80001,210,1,500000,风啸岬1层,,,风啸岬1层,10,50$100,[],8001,,[],0,0,
80002,0,1,500000,风啸岬2层,,,风啸岬2层,10,50$100,[],8002,,[],0,0,
80003,0,1,500000,风啸岬3层,,,风啸岬3层,10,50$100,[],8003,,[],0,0,
10015,212,1,3600000,该副本内怪物均为主动怪物，杀死怪物可以得到普通数量的经验奖励和50级紫装炼制宝石等物品。,331,531,绯红岭【单人】,1,45$100,[        如何增加实力#01b4ff]|n|   (装备铸造，enchant，0)       (装备炼制，refine，0)|n|   (提升修为，venation，1)       (前往祈福，pray，0),801,1080101^1^#00ffff$1080102^1^#00ffff$1080103^1^#ff0000$1080104^1^#00ffff$1080105^1^#ff0000,小提示：点击右上角的(挂机，autoattack，0)按钮，可轻松挂机打怪。,1,0,4671
10016,213,1,3600000,该副本内怪物均为主动怪物，杀死怪物可以得到较多的经验奖励和有机会获得50级紫装部件等物品。,382,596,绯红岭【精英】,2,50$100,[        如何增加实力#01b4ff]|n|   (装备铸造，enchant，0)       (装备炼制，refine，0)|n|   (提升修为，venation，1)       (前往祈福，pray，0),802,1080201^1^#00ffff$1080202^1^#00ffff$1080203^1^#ff0000$1080204^1^#00ffff$1080205^1^#ff0000,小提示：点击右上角的(挂机，autoattack，0)按钮，可轻松挂机打怪。,1,0,5399
20001,201,1,7200000,大量经验副本，有机会掉落紫装材料等。,0.1675$-4.0882$24.7953,0.2231$-4.6703$41.0043,传心阁,1,35$100,[        如何增加实力#01b4ff]|n|   (装备铸造，enchant，0)       (装备炼制，refine，0)|n|   (提升修为，venation，1)       (前往祈福，pray，0),2001,1200101^5^#00ffff$1200102^5^#00ffff$1200103^5^#00ffff$1200104^5^#00ffff$1200105^1^#ff0000,小提示：点击右上角的(挂机，autoattack，0)按钮，可轻松挂机打怪。,2,0,3.2668$-69.5979$195.9034
92003,0,0,86400000,无尘境3层,,,无尘境3层,2,70$100,[],9203,,[],0,0,
80010,0,1,500000,风啸岬10层,,,风啸岬10层,10,50$100,[],8010,,[],0,0,
20000,210,1,0,0,,,风啸岬,10,50$100,[],0,,[],0,0,
60010,0,0,1800000,藏宝洞,,,藏宝洞,1,70$100,[],6010,,[],0,1,
80004,0,1,500000,风啸岬4层,,,风啸岬4层,10,50$100,[],8004,,[],0,0,
80005,0,1,500000,风啸岬5层,,,风啸岬5层,10,50$100,[],8005,,[],0,0,
80006,0,1,500000,风啸岬6层,,,风啸岬6层,10,50$100,[],8006,,[],0,0,
30000,200,1,1200000,进入到幻兽仙境，杀死幻兽有机会掉落幻兽宠物蛋，进而培养自己的个性化仙宠。,,,幻兽境,1,30$100,[],1100,,[],0,0,
10000,208,1,0,0,,,寒风岭,10,40$100,[],0,,[],0,0,
60011,0,0,1800000,藏宝洞,,,藏宝洞,1,70$100,[],6011,,[],0,1,
30020,207,1,7200000,单人防守副本。,,,通灵道,1,35$100,[],320,,[],0,0,
30021,209,1,7200000,多人防守副本，建议组成5人队伍击杀。,,,通灵谷,2,45$100,[],321,,[],0,0,
92001,0,0,86400000,无尘境1层,,,无尘境1层,2,70$100,[],9201,,[],0,0,
92002,0,0,86400000,无尘境2层,,,无尘境2层,2,70$100,[],9202,,[],0,0,
12003,9,0,86400000,仙境温泉，在此泡澡可获得较多的经验和灵力。,,,仙境温泉,7,40$100,[],1203,,[],0,0,
92004,0,0,86400000,无尘境4层,,,无尘境4层,2,70$100,[],9204,,[],0,0,
92005,0,0,86400000,无尘境5层,,,无尘境5层,2,70$100,[],9205,,[],0,0,
92006,0,0,86400000,无尘境6层,,,无尘境6层,2,70$100,[],9206,,[],0,0,
92007,0,0,86400000,无尘境7层,,,无尘境7层,2,70$100,[],9207,,[],0,0,
92008,0,0,86400000,无尘境8层,,,无尘境8层,2,70$100,[],9208,,[],0,0,
92009,0,0,86400000,无尘境9层,,,无尘境9层,2,70$100,[],9209,,[],0,0,
92010,0,0,86400000,无尘境10层,,,无尘境10层,2,70$100,[],9210,,[],0,0,
60003,0,0,0,帮会驻地,,,帮会驻地,9,35$100,[],5006,,[],0,0,
60012,0,0,1800000,藏宝洞,,,藏宝洞,1,70$100,[],6012,,[],0,1,
70001,208,1,500000,寒风岭1层,,,寒风岭1层,10,40$100,[],7001,,[],0,0,
70002,0,1,500000,寒风岭2层,,,寒风岭2层,10,40$100,[],7002,,[],0,0,
70003,0,1,500000,寒风岭3层,,,寒风岭3层,10,40$100,[],7003,,[],0,0,
70004,0,1,500000,寒风岭4层,,,寒风岭4层,10,40$100,[],7004,,[],0,0,
70005,0,1,500000,寒风岭5层,,,寒风岭5层,10,40$100,[],7005,,[],0,0,
70006,0,1,500000,寒风岭6层,,,寒风岭6层,10,40$100,[],7006,,[],0,0,
70007,0,1,500000,寒风岭7层,,,寒风岭7层,10,40$100,[],7007,,[],0,0,
70008,0,1,500000,寒风岭8层,,,寒风岭8层,10,40$100,[],7008,,[],0,0,
70009,0,1,500000,寒风岭9层,,,寒风岭9层,10,40$100,[],7009,,[],0,0,
70010,0,1,500000,寒风岭10层,,,寒风岭10层,10,40$100,[],7010,,[],0,0,
70011,0,1,500000,寒风岭11层,,,寒风岭11层,10,40$100,[],7011,,[],0,0,
70012,0,1,500000,寒风岭12层,,,寒风岭12层,10,40$100,[],7012,,[],0,0,
70013,0,1,500000,寒风岭13层,,,寒风岭13层,10,40$100,[],7013,,[],0,0,
70014,0,1,500000,寒风岭14层,,,寒风岭14层,10,40$100,[],7014,,[],0,0,
70015,0,1,500000,寒风岭15层,,,寒风岭15层,10,40$100,[],7015,,[],0,0,
