key,add_states,allowableClass,amulet_exp,baserepaired,bonding,caizhuangid,canuse,classtype,clothesEff,damage,defense,description,displayid,equipmentset,inventorytype,item_from_where,level,maxDurability,maxSocket,name,overdue_type,pet_studylevel,popupwnd,qualty,questid,requiredlevel,sellPrice,sockettype,spellcategory,spellcooldown,spellid,stackable,states,subclass,tipsclass,useable
14000120,,0,367,0,0,0,0,15,0,0$0$0,0$0$0,天地五行精气孕育而成，镶嵌于兵甲之上可获得种种不可思议的提升。 |n|只能镶嵌到武器和饰品上,2010010,0,0,可通过挑战[风啸岬#00ff00]副本获得也可在[仙缘福报#00ff00]和[炼器#00ff00]中获得,2,0,0,2级力量石,0,0,enchant$3,0,0,0$100,20,102,0,0,0,999,力量^18,3,12,0
11051010,,0,0,0,0,0,1,0,0,0$0$0,0$0$0,攻击+7%，持续30分钟,2000290,0,0,仙门[百宝阁#00ff00]中购买或在[仙缘福报#00ff00]中获得,1,0,0,大攻丹,0,0,,3,0,1$100,0,,10,2000,200000403,99,,2,1,0
11051011,,0,0,0,2,0,1,0,0,0$0$0,0$0$0,攻击+7%，持续30分钟,2000290,0,0,仙门[百宝阁#00ff00]中购买或在[仙缘福报#00ff00]中获得,1,0,0,大攻丹,0,0,,3,0,1$100,0,,10,2000,200000403,99,,2,1,0
2060292,,0,0,0,2,0,1,131,0,0$0$0,0$0$0,打开可获得一只[20成长值、20资质值#ff00ff]的蓝色仙宠,2060260,0,0,蓝钻会员专属仙宠,1,0,0,宠物蛋（慧眼刚鬣）,0,0,pet_egg$0,3,0,1$100,0,,0,0,0,1,28^28^28^28$29^29^29^29$30^30^30^30$27^27^27^27,0,4,0
1040362,,0,0,10,2,0,1,3,0,0$0$0,78$78$78,,1040360,0,1,,60,100,5,麒麟法冠,0,0,,3,0,60$100,240,,0,0,0,1,魔防^17$远防^17$近防^17$闪避^23$韧性^23,1,2,0
27000840,,0,0,0,0,0,1,145,0,0$0$0,0$0$0,法宝技能：四级威慑抵抗|n|学习后可完全抵抗法宝四级及以下等级灵能威慑效果|n|注意：需要先学习三级威慑抵抗,3800094,0,0,在“法宝”—“技能”中获取,1,0,0,四级威慑抵抗,0,0,,3,0,1$100,0,,0,0,0,1,,3,9,0
27000841,,0,0,0,2,0,1,145,0,0$0$0,0$0$0,法宝技能：四级威慑抵抗|n|学习后可完全抵抗法宝四级及以下等级灵能威慑效果|n|注意：需要先学习三级威慑抵抗,3800094,0,0,在“法宝”—“技能”中获取,1,0,0,四级威慑抵抗,0,0,,3,0,1$100,0,,0,0,0,1,,3,9,0
14000130,,0,1794,0,0,0,0,15,0,0$0$0,0$0$0,天地五行精气孕育而成，镶嵌于兵甲之上可获得种种不可思议的提升。 |n|只能镶嵌到武器和饰品上,2010010,0,0,可在[仙缘福报#00ff00]和[炼器#00ff00]中获得,3,0,0,3级力量石,0,0,enchant$3,1,0,0$100,30,103,0,0,0,999,力量^29,3,12,0
14000131,,0,1794,0,2,0,0,15,0,0$0$0,0$0$0,天地五行精气孕育而成，镶嵌于兵甲之上可获得种种不可思议的提升。 |n|只能镶嵌到武器和饰品上,2010010,0,0,可在[仙缘福报#00ff00]和[炼器#00ff00]中获得,3,0,0,3级力量石,0,0,enchant$3,1,0,0$100,30,103,0,0,0,999,力量^29,3,12,0
14000140,,0,0,0,0,0,0,15,0,0$0$0,0$0$0,天地五行精气孕育而成，镶嵌于兵甲之上可获得种种不可思议的提升。 |n|只能镶嵌到武器和饰品上,2010010,0,0,可在[炼器#00ff00]中的[合成#00ff00]中获得,4,0,0,4级力量石,0,0,enchant$3,1,0,0$100,40,104,0,0,0,999,力量^44,3,12,0
14000141,,0,0,0,2,0,0,15,0,0$0$0,0$0$0,天地五行精气孕育而成，镶嵌于兵甲之上可获得种种不可思议的提升。 |n|只能镶嵌到武器和饰品上,2010010,0,0,可在[炼器#00ff00]中的[合成#00ff00]中获得,4,0,0,4级力量石,0,0,enchant$3,1,0,0$100,40,104,0,0,0,999,力量^44,3,12,0
2060302,,0,0,0,2,0,1,131,0,0$0$0,0$0$0,打开可获得一只[20成长值、20资质值#ff00ff]的蓝色仙宠,2060260,0,0,蓝钻会员专属仙宠,1,0,0,宠物蛋（慧眼刚鬣）,0,0,pet_egg$0,4,0,1$100,0,,0,0,0,1,28^28^28^28$29^29^29^29$30^30^30^30$27^27^27^27,0,4,0
