key,money,time
1,1,30
2,1,60
3,1,90
4,1,120
5,2,150
6,2,180
7,2,210
8,2,240
9,3,270
10,3,300
11,3,330
12,3,360
13,4,390
14,4,420
15,4,450
16,4,480
17,5,510
18,5,540
19,5,570
20,5,600
21,6,630
22,6,660
23,6,690
24,6,720
25,7,750
26,7,780
27,7,810
28,7,840
29,8,870
30,8,900
31,8,930
32,8,960
33,9,990
34,9,1020
35,9,1050
36,9,1080
37,10,1110
38,10,1140
39,10,1170
40,12,1400
41,18,2100
42,26,3100
43,38,4500
44,60,7100
45,87,10400
46,120,14400
47,158,18900
48,173,20700
49,192,23000
50,209,25000
51,234,28000
52,247,29600
53,282,33800
54,314,37600
55,360,43200
56,387,46400
57,395,47400
58,417,50000
59,438,52500
60,465,55800
61,500,59900
62,532,63800
63,560,67100
64,600,72000
65,650,77900
66,701,84100
67,742,89000
68,797,95600
69,860,103200
70,1037,124400
71,1207,144800
72,1371,164500
73,1501,180100
74,1676,201100
75,1836,220300
76,2005,240500
77,2111,253300
78,2212,265400
79,2367,284000
80,2475,296900
81,2639,316600
82,2804,336400
83,3298,395700
84,4121,494500
85,4636,556300
86,5109,613000
87,6097,731600
88,8425,1011000
89,9164,1099600
90,9968,1196100
91,10844,1301200
92,11799,1415800
93,12839,1540600
94,13973,1676700
95,15208,1824900
96,16555,1986500
97,18022,2162600
98,19622,2354600
99,21366,2563900
