key,id,item,money
1,13160010,124$8,10000
2,13160010,124$16,20000
3,13160010,124$24,30000
4,13160010,124$32,40000
5,13160010,124$40,50000
6,13160010,124$48,60000
7,13160010,124$56,70000
8,13160010,124$64,80000
9,13160010,124$72,90000
10,13160010,124$80,100000
11,13160020,125$24,110000
12,13160020,125$30,120000
13,13160020,125$36,130000
14,13160020,125$42,140000
15,13160020,125$48,150000
16,13160020,125$54,160000
17,13160020,125$60,170000
18,13160020,125$66,180000
19,13160020,125$72,190000
20,13160020,125$78,200000
21,13160030,126$48,210000
22,13160030,126$54,220000
23,13160030,126$60,230000
24,13160030,126$66,240000
25,13160030,126$72,250000
26,13160030,126$78,260000
27,13160030,126$84,270000
28,13160030,126$90,280000
29,13160030,126$96,290000
30,13160030,126$102,300000
