key,colorlist,format,paramlist,type,viewStr
1,#FEE84E$#3399ff$#3399ff,[传闻]：$将$斩于马下，望天长叹：“普天之下，谁敢与吾一战！”,1$1,8,
2,#FEE84E$#3399ff$$#00FF00,[传闻]：$经过一番不懈努力，终于幸运的将$升到了$星,1$3$4,9,我要升星$EnhanceViewWindow$0$0
3,#FEE84E$#3399ff$,[传闻]：$合成了$,1$2,8,我要合成$EnhanceViewWindow$4$0
4,#FEE84E$#e20e18$#0ef5bc$#00FF00,[传闻]：$在$的$线刷新了，身上携有经验及宝物，请众勇士前往征讨！,5$5$4,9,
5,#FEE84E$#3399ff$#e20e18,[战报]：$所向披靡，将$华丽击杀，实乃一身是胆举世无双！,1$5,9,
6,#FEE84E$#3399ff$#3399ff$#00FF00,[战报]：$勇冠天下，不畏强敌，将沙场名将$斩于马下，获得$点积分,1$1$4,8,
7,#FEE84E$#3399ff$#e20e18,[战报]：$发出惊世一击，将$打得魂飞魄散,1$5,9,
8,#FEE84E$#3399ff,[战报]：$凶威震天，脚下白骨累累。跃进战场前5名,1,8,
9,#FEE84E$#3399ff$#00FF00$#00FF00,[战报]：$勇猛无敌，一路过关斩怪，千钧一发之际取得了$到$层层主,1$4$4,10,
16,#FEE84E$#3399ff$#e20e18,[传闻]：$$，真乃胸纳天地存战魂，崩碎寰宇敢屠神！,1$5,9,
17,#FEE84E$#3399ff,[VIP]：在神光的庇护下，持有者可拥有一些不可思议的权限，恭喜$成功续费VIP会员1个月。,1,10,我也要VIP$vipMainWnd$0$0
18,#FEE84E$#3399ff,[VIP]：在神光的庇护下，持有者可拥有一些不可思议的权限，恭喜$成功续费VIP会员3个月。,1,10,我也要VIP$vipMainWnd$0$0
19,#FEE84E$#3399ff,[VIP]：在神光的庇护下，持有者可拥有一些不可思议的权限，恭喜$成功续费VIP会员6个月。,1,10,我也要VIP$vipMainWnd$0$0
20,#FEE84E$#3399ff,[VIP]：恭喜$获得VIP月卡权限，成为月卡VIP。打怪最高获得1.7倍经验，从此快人一步！,1,10,我也要VIP$vipMainWnd$0$0
21,#FEE84E$#3399ff,[VIP]：神赐卫士：被神所肯定，拥有护卫神光的职责，恭喜$获得VIP季卡权限，成为季卡VIP。,1,10,我也要VIP$vipMainWnd$0$0
22,#FEE84E$#3399ff,[VIP]：恭喜$获得VIP至尊卡权限，成为至尊VIP。打怪最高获得1.8倍经验，从此快人一步！,1,10,我也要VIP$vipMainWnd$0$0
23,#FEE84E$#FEE84E$#3399ff,[公告]：$服务器将在$后进行维护，请尽快下线，以免造成不必要的损失！,5$4,9,
24,#FEE84E$#3399ff$,[祝贺]：恭喜$通过祈福获得$，果然是人品大爆发！,1$2,10,我要寻仙$BeadsPray_Window$0$0
25,#FEE84E$#3399ff$,[传闻]：$勇闯幽谷道（30级副本），获得$,1$2,9,
26,#FEE84E$#3399ff$,[传闻]：$勇闯玉蛟宫（40级副本），获得$,1$2,9,
27,#FEE84E$#3399ff$,[传闻]：$勇闯诛魔台（55级副本），获得$,1$2,9,
28,#FEE84E$#3399ff$,[传闻]：$勇闯索命塔（75级副本），获得$,1$2,9,
29,#FEE84E$#3399ff$,[传闻]：$勇闯多隆王座（64级副本），获得$,1$2,9,
30,#FEE84E$#3399ff$#3399ff,[战报]：$勇冠三军，将$斩落于马下！,1$1,8,
31,#FEE84E$#3399ff$#3399ff$#fca50f,[战报]：$智谋过人，为$夺得了$的控制权！,1$5$5,8,
32,#FEE84E$#3399ff$fca50f,[战报]：$完全占领了$,5$5,8,
33,#FEE84E$#3399ff,[战报]：$采集的资源数量已达到1000，势如破竹！,5,8,
34,#FEE84E$#3399ff,[战报]：$采集的资源数量已达到1500，胜利在望！,5,8,
35,#FEE84E$#3399ff,[战报]：$采集的资源数量已达到1800，离赢得胜利只有一步之遥！,5,8,
36,#FEE84E$#3399ff$,[首充]：$首度充值，特别奖励价值888元宝的$一个!,1$2,10,我要充值$ShopGoldWnd$0$0
37,#FEE84E$#3399ff$#3399ff$#e20e18,[传闻]：$幸运的在商城中抢购到了限量版$商城目前仅剩$只。,1$2$4,10,我要购买$ShoppeWindow$1$0
56,#FEE84E$#3399ff$#3399ff$#3399ff,[传闻]：九州榜昭告天下：$，$，$获得三大才子殊荣，特此金笔提名！,1$1$1,10,
57,#FEE84E,[公告]：智力问答活动将于16：10正式开始，欢迎大家点击屏幕右上角的卷轴图标开始报名！,,10,
65,#FEE84E$#3399ff$,[战报]：漫天龙血，绝望龙啸！，$竟生撕$，其凶威震古烁今无人能敌！,1$5,9,
72,#FEE84E$#3399ff,[VIP]：在神光的庇护下，持有者可拥有一些不可思议的权限，恭喜$成功续费VIP会员1个星期。,1,10,我也要VIP$vipMainWnd$0$0
73,#FEE84E$#3399ff,[VIP]：恭喜$获得VIP周卡权限，成为周卡VIP。打怪最高获得1.6倍经验，从此快人一步！,1,10,我也要VIP$vipMainWnd$0$0
74,#FEE84E$#3399ff$,[传闻]：$如有神助，其$附魔出了三条属性！,1$3,10,我要附魔$EnhanceViewWindow$5$0
75,#FEE84E$#3399ff$,[传闻]：$如有神助，其$重铸出了惊世骇俗的金色属性！,1$3,10,我要附魔$EnhanceViewWindow$5$0
76,#FEE84E$#3399ff$#3399ff$#e20e18$,[传闻]：$勇闯$击杀$，获得$,1$5$5$2,10,
77,#FEE84E$#e20e18$#0ef5bc$#00FF00,[传闻]：$在$的$线刷新了，身上携有经验及宝物，请众勇士前往征讨！,5$5$4,10,
78,#FEE84E$#e20e18$#3399ff$#e20e18,[战报]：$的$所向披靡，将$华丽击杀，实乃一身是胆举世无双！,5$1$5,10,
