key,addattrNum,addattrStr,costmoney,needitem,protectitem,succRate
11,5,修为攻击+,500,19010650$19010651,19010660$19010661,100$100
12,8,修为攻击+,1000,19010650$19010651,19010660$19010661,100$80
13,12,修为攻击+,2000,19010650$19010651,19010660$19010661,100$65
14,17,修为攻击+,3500,19010650$19010651,19010660$19010661,100$50
15,23,修为攻击+,5000,19010650$19010651,19010660$19010661,100$35
16,30,修为攻击+,6500,19010650$19010651,19010660$19010661,100$25
17,38,修为攻击+,8000,19010650$19010651,19010660$19010661,100$20
18,47,修为攻击+,10000,19010650$19010651,19010660$19010661,100$15
19,57,修为攻击+,12000,19010650$19010651,19010660$19010661,100$10
21,5,修为防御+,500,19010650$19010651,19010660$19010661,100$100
22,8,修为防御+,1000,19010650$19010651,19010660$19010661,100$80
23,12,修为防御+,2000,19010650$19010651,19010660$19010661,100$65
24,17,修为防御+,3500,19010650$19010651,19010660$19010661,100$50
25,23,修为防御+,5000,19010650$19010651,19010660$19010661,100$35
26,30,修为防御+,6500,19010650$19010651,19010660$19010661,100$25
27,38,修为防御+,8000,19010650$19010651,19010660$19010661,100$20
28,47,修为防御+,10000,19010650$19010651,19010660$19010661,100$15
29,57,修为防御+,12000,19010650$19010651,19010660$19010661,100$10
31,5,修为生命+,500,19010650$19010651,19010660$19010661,100$100
32,8,修为生命+,1000,19010650$19010651,19010660$19010661,100$80
33,12,修为生命+,2000,19010650$19010651,19010660$19010661,100$65
34,17,修为生命+,3500,19010650$19010651,19010660$19010661,100$50
35,23,修为生命+,5000,19010650$19010651,19010660$19010661,100$35
36,30,修为生命+,6500,19010650$19010651,19010660$19010661,100$25
37,38,修为生命+,8000,19010650$19010651,19010660$19010661,100$20
38,47,修为生命+,10000,19010650$19010651,19010660$19010661,100$15
39,57,修为生命+,12000,19010650$19010651,19010660$19010661,100$10
41,5,修为命中+,500,19010650$19010651,19010660$19010661,100$100
42,8,修为命中+,1000,19010650$19010651,19010660$19010661,100$80
43,12,修为命中+,2000,19010650$19010651,19010660$19010661,100$65
44,17,修为命中+,3500,19010650$19010651,19010660$19010661,100$50
45,23,修为命中+,5000,19010650$19010651,19010660$19010661,100$35
46,30,修为命中+,6500,19010650$19010651,19010660$19010661,100$25
47,38,修为命中+,8000,19010650$19010651,19010660$19010661,100$20
48,47,修为命中+,10000,19010650$19010651,19010660$19010661,100$15
49,57,修为命中+,12000,19010650$19010651,19010660$19010661,100$10
810,68,修为韧性+,15000,19010650$19010651,19010660$19010661,100$5
51,5,修为闪避+,500,19010650$19010651,19010660$19010661,100$100
52,8,修为闪避+,1000,19010650$19010651,19010660$19010661,100$80
410,68,修为命中+,15000,19010650$19010651,19010660$19010661,100$5
310,68,修为生命+,15000,19010650$19010651,19010660$19010661,100$5
55,23,修为闪避+,5000,19010650$19010651,19010660$19010661,100$35
56,30,修为闪避+,6500,19010650$19010651,19010660$19010661,100$25
57,38,修为闪避+,8000,19010650$19010651,19010660$19010661,100$20
58,47,修为闪避+,10000,19010650$19010651,19010660$19010661,100$15
59,57,修为闪避+,12000,19010650$19010651,19010660$19010661,100$10
61,5,修为暴击+,500,19010650$19010651,19010660$19010661,100$100
54,17,修为闪避+,3500,19010650$19010651,19010660$19010661,100$50
63,12,修为暴击+,2000,19010650$19010651,19010660$19010661,100$65
64,17,修为暴击+,3500,19010650$19010651,19010660$19010661,100$50
65,23,修为暴击+,5000,19010650$19010651,19010660$19010661,100$35
66,30,修为暴击+,6500,19010650$19010651,19010660$19010661,100$25
67,38,修为暴击+,8000,19010650$19010651,19010660$19010661,100$20
68,47,修为暴击+,10000,19010650$19010651,19010660$19010661,100$15
69,57,修为暴击+,12000,19010650$19010651,19010660$19010661,100$10
53,12,修为闪避+,2000,19010650$19010651,19010660$19010661,100$65
71,5,修为暴伤+,500,19010650$19010651,19010660$19010661,100$100
72,8,修为暴伤+,1000,19010650$19010651,19010660$19010661,100$80
73,12,修为暴伤+,2000,19010650$19010651,19010660$19010661,100$65
74,17,修为暴伤+,3500,19010650$19010651,19010660$19010661,100$50
75,23,修为暴伤+,5000,19010650$19010651,19010660$19010661,100$35
76,30,修为暴伤+,6500,19010650$19010651,19010660$19010661,100$25
77,38,修为暴伤+,8000,19010650$19010651,19010660$19010661,100$20
78,47,修为暴伤+,10000,19010650$19010651,19010660$19010661,100$15
62,8,修为暴击+,1000,19010650$19010651,19010660$19010661,100$80
81,5,修为韧性+,500,19010650$19010651,19010660$19010661,100$100
210,68,修为防御+,15000,19010650$19010651,19010660$19010661,100$5
83,12,修为韧性+,2000,19010650$19010651,19010660$19010661,100$65
84,17,修为韧性+,3500,19010650$19010651,19010660$19010661,100$50
85,23,修为韧性+,5000,19010650$19010651,19010660$19010661,100$35
86,30,修为韧性+,6500,19010650$19010651,19010660$19010661,100$25
79,57,修为暴伤+,12000,19010650$19010651,19010660$19010661,100$10
88,47,修为韧性+,10000,19010650$19010651,19010660$19010661,100$15
89,57,修为韧性+,12000,19010650$19010651,19010660$19010661,100$10
82,8,修为韧性+,1000,19010650$19010651,19010660$19010661,100$80
87,38,修为韧性+,8000,19010650$19010651,19010660$19010661,100$20
710,68,修为暴伤+,15000,19010650$19010651,19010660$19010661,100$5
610,68,修为暴击+,15000,19010650$19010651,19010660$19010661,100$5
110,68,修为攻击+,15000,19010650$19010651,19010660$19010661,100$5
510,68,修为闪避+,15000,19010650$19010651,19010660$19010661,100$5
